Host;Protocol;Port;Name;State;Product;Extrainfo;Reason;Version;Conf;CPE
10.150.166.79;tcp;80;http;open;;;syn-ack;;3;
10.150.166.79;tcp;8080;http-proxy;closed;;;conn-refused;;3;
10.150.166.79;tcp;8090;unknown;filtered;;;no-response;;3;


10.150.166.78;tcp;80;http;open;;;syn-ack;;3;
10.150.166.78;tcp;8080;http-proxy;closed;;;conn-refused;;3;
10.150.166.78;tcp;8090;unknown;filtered;;;no-response;;3;


10.150.166.74;tcp;80;http;open;;;syn-ack;;3;
10.150.166.74;tcp;8080;http-proxy;closed;;;conn-refused;;3;
10.150.166.74;tcp;8090;unknown;filtered;;;no-response;;3;


10.150.166.101;tcp;80;http;open;;;syn-ack;;3;
10.150.166.101;tcp;8080;http-proxy;closed;;;conn-refused;;3;
10.150.166.101;tcp;8090;unknown;filtered;;;no-response;;3;


10.150.166.93;tcp;80;http;open;;;syn-ack;;3;
10.150.166.93;tcp;8080;http-proxy;closed;;;conn-refused;;3;
10.150.166.93;tcp;8090;unknown;filtered;;;no-response;;3;


10.191.10.22;tcp;80;http;open;;;syn-ack;;3;
10.191.10.22;tcp;8080;http-proxy;closed;;;conn-refused;;3;
10.191.10.22;tcp;8090;unknown;filtered;;;no-response;;3;

